,tweet_id,username,text,tweet_link,created_at,mined_at,hashtag_used,Match No,Date,Time (IST),Teams,Round,Venue,Result,clean_datetime_of_match_ist,clean_datetime_of_match_est,clean_datetime_of_match_utc,team_1,team_2,winner_of_match,result_by_wickets,result_by_runs,result_quantity,winner_of_match_expanded,team_1_alias,team_2_alias,hashtag1,hashtag2
1810,1457709427902107654,ESPNcricinfo,"Ravi Shastri ends his time coaching ""one of the greatest teams in the history of the game""

#INDvNAM | #T20WorldCup https://t.co/xcZiPCVNkd",https://twitter.com/ESPNcricinfo/status/1457709427902107654,2021-11-08 13:59:45+00:00,2021-12-10 02:05:24.708613,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1811,1457709405995257856,guerillacricket,"#India take the knee, #Namibia stand with fists raised, and Stephan Baard and Michael van Lingen take their places at striker's and non-striker's end respectively.

Mohammed Shami will bowl the first over - PLAY BALL!

#INDvNAM🏏🇮🇳🇳🇦
#T20WorldCup
#GCFromHome",https://twitter.com/guerillacricket/status/1457709405995257856,2021-11-08 13:59:39+00:00,2021-12-10 02:05:24.717614,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1812,1457709326445924352,rashidelitee,Team #india Come back stronger next time! Good luck👍 #INDvNAM #T20WorldCup,https://twitter.com/rashidelitee/status/1457709326445924352,2021-11-08 13:59:21+00:00,2021-12-10 02:05:24.746632,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1813,1457709229519740932,truelfcred,Good of Virat to bowl first so the match can finish quickly and everyone can watch the new Succession episode after that. What a considerate guy. #India #INDvNAM #T20WorldCup,https://twitter.com/truelfcred/status/1457709229519740932,2021-11-08 13:58:57+00:00,2021-12-10 02:05:24.832612,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1814,1457709103438970886,ashyashree,"Tonight is the final night that marks the end of T20 captaincy for @imVkohli.

#India is truly blessed to have such a dynamic captain. 

Wishing him all the best for the future endeavours.

Vande Mataram
#IndvsNam #IndianCricketTeam #BCCI #INDvNAM #T20WorldCup #t20worldcup2022",https://twitter.com/ashyashree/status/1457709103438970886,2021-11-08 13:58:27+00:00,2021-12-10 02:05:24.918632,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1815,1457708989471342594,CricketSourabh,"Ravi Shastri: We were always labelled as big bullies at home, but when you had to travel outside you didn't have the goods. But this team has shown they have more and plenty of that. #INDvNAM #T20WorldCup",https://twitter.com/CricketSourabh/status/1457708989471342594,2021-11-08 13:58:00+00:00,2021-12-10 02:05:24.997636,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1816,1457708985696485377,Sainsays,omg! we won the toss!!!! #INDvNAM #T20WorldCup,https://twitter.com/Sainsays/status/1457708985696485377,2021-11-08 13:57:59+00:00,2021-12-10 02:05:25.009615,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1817,1457708949952614402,CricketSourabh,"Ravi Shastri: We take defeat because we are not scared of losing. Because in trying to win, you will lose a game. Here we didn't try to win because that X-factor was missing. #INDvNAM #T20WorldCup",https://twitter.com/CricketSourabh/status/1457708949952614402,2021-11-08 13:57:51+00:00,2021-12-10 02:05:25.053615,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1818,1457708909448282116,CricSubhayan,"One last time for #TeamIndia in #T20WorldCup 

#INDvNAM https://t.co/qfhn7XHMoq",https://twitter.com/CricSubhayan/status/1457708909448282116,2021-11-08 13:57:41+00:00,2021-12-10 02:05:25.122629,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
1819,1457708902355664905,CricketSourabh,"Ravi Shastri: It (journey) has been fantastic. When I took this job, I said in my mind I want to make a difference and I think I have. Sometimes in life, it's not all about what you accomplish, it's what you overcome.
#INDvNAM #T20WorldCup",https://twitter.com/CricketSourabh/status/1457708902355664905,2021-11-08 13:57:39+00:00,2021-12-10 02:05:25.135614,INDvNAM,42,08-Nov-21,7:30 PM,india vs namibia,Super 12,Dubai,IND won by 9 wickets (28 ball left),2021-11-08 19:30:00+05:30,2021-11-08 09:00:00-05:00,2021-11-08 14:00:00.000000,india,namibia,IND,True,False,9,india,IND,NAM,INDvNAM,NAMvIND
