Match#,tweet_id,text,Tweet date,y_is_prediction,term_used_to_identify_prediction
1,1449465244078600000,"Who Will Win the #Oman vs #PapuaNewGuinea Match?

#OmanvPapuaNewGuinea #OmanvsPapuaNewGuinea #OMNvPNG #OMNvsPNG #T20WorldCup #T20WorldCup2021 #ICCT20WorldCup #ICCT20WorldCup2021 #T20 #Cricket #Sport #Sports #T20WorldCup21 #T20WC2021 #T20WC",2021-10-16 20:00:18+00:00,0,
1,1449552440420750000,"Today 1st #T20 World Cup 2021 Match Oman vs Papua New Guinea #Live Cricket Score
Watch: https://t.co/OMxVKh6Qv5

#T20WorldCup #T20WorldCup21 #T20WorldCup2021 #T20WC #WorldCupT20 #worldcup #worldcup21 #worldcup2021 #OMNvPNG #PNGvOMN #OmanvPapuaNewGuinea #AhmedShameel #Pakistan https://t.co/2vMXYgGXTM",2021-10-17 01:46:47+00:00,0,
2,1449692149675480000,"Am i the only one who think @CricketScotland can beat @BCBtigers comfortably

If they can clinch the key moments beating Bangladesh is not a big thing for them cause they're a quality side

If #Scotland beat #Bangladesh that's not a upset for sure

#BANvSCO #T20WorldCup https://t.co/WiEj89lTMs",2021-10-17 11:01:57+00:00,1,"can beat
quality side
clinch key moments"
2,1449464644024760000,"Who Will Win the #Bangladesh vs #Scotland Match?

#BangladeshvScotland #BangladeshvsScotland #BANvSCO #BANvsSCO #T20WorldCup #T20WorldCup2021 #ICCT20WorldCup #ICCT20WorldCup2021 #T20 #Cricket #Sport #Sports #T20WorldCup21 #T20WC2021 #T20WC",2021-10-16 19:57:55+00:00,0,
2,1449667197039680000,"Scotland have won the sole T20I between the two sides 👀

#T20WorldCup #SCO #BAN #BANvSCO

https://t.co/mh2l05ownb",2021-10-17 09:22:47+00:00,0,
2,1449699411005770000,"#T20WorldCup, Match 2 | #Bangladesh start campaign with a tricky fixture against #Scotland
@BCBtigers @CricketScotland
#Cricket #BANvSCO #AlAmerat #Oman #T20Cricket #T20WC #LiveStreaming
https://t.co/2Oh0jX7rHr",2021-10-17 11:30:48+00:00,0,
3,1449966067111970000,"#T20WorldCup21 | In the last head-to-head game, #Netherlands won by 6 wickets.

#IREvNED | #T20WorldCup | #ICCT20WorldCup2021

https://t.co/UwzfW8AE5w",2021-10-18 05:10:24+00:00,0,
3,1450018805623700000,"The tournament roared into life thanks to dominant #Oman &amp; indomitable #Scotland - now we shift attention to the wide open Group A.

A refreshing #Ireland take on an experienced #Netherlands - who’ll take the Northern European spoils?

#IREvNED🏏☘️🇳🇱
#T20WorldCup
#GCFromHome",2021-10-18 08:39:57+00:00,0,
3,1450023400127150000,"2 big clashes today at the t20 world cup!!
1st one: Ned vs Ire!!
2nd one: Sri vs Nam!!
Will Ned and namibia upset another test nations??
#T20WorldCup #ICC #IREvNED #NAMvSRI",2021-10-18 08:58:13+00:00,0,
4,1449674043335090000,"Former champions #SriLanka start their #T20WorldCup campaign against rising #Namibia #SLvNAM

https://t.co/tqqmFbjbqA - via @mykhelcom",2021-10-17 09:50:00+00:00,1,champion
4,1450076744506090000,"""Nah - #Namibia are a pretty good team, and #SriLanka are all over the place. Could be a close one.

#NAMvSL🏏🇳🇦🇱🇰
#T20WorldCup https://t.co/deZ84Tkaau""",2021-10-18 12:30:11+00:00,1,pretty good
4,1450096967124540000,"Hi @hershybru, I see a lot of South Africans in Namibia's squad..

Do you think they have the fire power to upset Sri Lanka ?

#T20WorldCup #SriLanka #Namibia #SLvNAM",2021-10-18 13:50:33+00:00,1,upset
5,1450003528353590000,"After stunning Bangladesh in #T20WorldCup round 1 opener, #Scotland look to keep winning momentum against #PapuaNewGuinea #SCOvPNG

https://t.co/IxD9jR4WEM",2021-10-18 07:39:15+00:00,1,winning momentum
5,1450362337161010000,"Head to head in T20Is, Scotland leads 2-0

SCO vs PNG dream11 predictions: https://t.co/AuyhCtbU0a

#Cricket #FantasyCricket #Dream11 #Playerzpot #SCO #Scotland #PNG #SCOvPNG #SCOvsPNG #T20WorldCup21 #T20WorldCup #T20WorldCup2021 #ICCT20WorldCup2021 #Follow",2021-10-19 07:25:02+00:00,1,Head to Head Leads
5,1450378696359960000,"Having pulled off an upset in their #ICC Men's #T20WorldCup opener, can #Scotland continue the momentum 🆚 #PapuaNewGuinea?

Give us your prediction 👇.

#SCOvPNG #LiveTheGame https://t.co/L972Q5zINP",2021-10-19 08:30:02+00:00,1,Upset momentum
5,1450389165623880000,"Fresh from a sensational win, Scotland take on Papua New Guinea in the first match today 👏

🤙Create your Fantasy Team to win prizes ➡️ https://t.co/E7vjaJxWUf

#T20WorldCup #SCOvPNG https://t.co/VadiQzPU8H",2021-10-19 09:11:38+00:00,0,
5,1450395508086770000,"#Scotland here to upset many teams
#SCOvPNG #T20WorldCup",2021-10-19 09:36:50+00:00,1,upset
5,1450400494975910000,"After astounding Bangladesh, Scotland's next aim will be to defeat @Cricket_PNG while batting first 🗞️

Do you think they will register their second win today❓

Live Scorecard ➡️ https://t.co/T46DC3236e

#T20WorldCup #SCOvPNG",2021-10-19 09:56:39+00:00,1,Astounding aim to defeat
6,1450344852391170000,Bangladesh find themselves in must-win situation against Oman https://t.co/nb1lQTP7v3 #T20WorldCup #BANvOMN #OMNvBAN @TheOmanCricket #OmanCricket #CricketG #T20WC,2021-10-19 06:15:33+00:00,0,
6,1450452046973440000,"Do or die match coming up for #Bangladesh if they losed today they will be out from the #T20WorldCup .
#OMNvBAN",2021-10-19 13:21:30+00:00,0,
6,1450423940447280000,"The #Bangladesh 🐯🐯 are on the hunt for their 1st ICC Men's #T20WorldCup 2021 win...

Will they come out on 🔝 against #Oman?

#BANvOMN #LiveTheGame https://t.co/PpAqYf4cAG",2021-10-19 11:29:49+00:00,0,
7,1450387195919880000,"After being blown away in their opening match, #Netherlands seek first win in #T20WorldCup against #Namibia #NAMvNED

https://t.co/ovD0T8i4t1",2021-10-19 09:03:49+00:00,0,
7,1450676937664430000,"#Namibia and the #Netherlands are both out to right the wrongs of their opening round #T20WorldCup losses.

Everything you need to know ahead of #NAMvNED 👇

https://t.co/sbbpMkN5Fd",2021-10-20 04:15:08+00:00,0,
7,1450740289140830000,"Both winless teams look to earn their first points in the tournament today 👊

🤙Create your Fantasy Team to win prizes ➡️ https://t.co/3z8gwZJ8lT

#T20WorldCup #NAMvNED",2021-10-20 08:26:53+00:00,0,
8,1450405470653480000,"#SriLanka eye second win of #T20WorldCup campaign against confident #Ireland #SLvIRE

https://t.co/SOot1i4ft2 - via @mykhelcom",2021-10-19 10:16:26+00:00,1,win
8,1450590582678580000,"A tricky challenge awaits Sri Lanka in their #T20WorldCup clash against Ireland, a side high on confidence 🤜🤛

#IREvSL preview ➜ https://t.co/ofmGy5i3Z3

Their recent form (latest match first) ⬇️ https://t.co/Bd8UUuS3bQ",2021-10-19 22:32:00+00:00,1,"confidence
tricky challenge"
9,1451101580539870000,"Another crucial game for Bangladesh to bolster their chances of making it to the Super 12 👊

🤙Create your Fantasy Team to win prizes ➡️ https://t.co/E7vjaJxWUf

#T20WorldCup #BANvPNG https://t.co/Fo4jBss7uY",2021-10-21 08:22:31+00:00,0,
9,1451114899120260000,"CricWick: Another crucial game for Bangladesh to bolster their chances of making it to the Super 12 👊

🤙Create your Fantasy Team to win prizes ➡️ https://t.co/a1RihsTsmb

#T20WorldCup #BANvPNG",2021-10-21 09:15:27+00:00,0,
10,1451122753680150000,Oman need a win to make history https://t.co/lrW0put2b0 Article by @ashokmuscat via @muscat_daily #CricketOman #HayyaCricket  #T20WorldCup #aOMAvSCO #OMNvSCO  #CricketG #T20WC,2021-10-21 09:46:39+00:00,0,
10,1451165859804680000,"Oman, let's hope our boys give us a chance to celebrate in @ImJatinder10 's Dhawan-derful style? 🕺🏿😜

@SDhawan25

#HayyaCricket #OMNvSCO #OneTeam #TeamOman #T20WorldCup #LiveTheGame https://t.co/O8Nl1ps3IY",2021-10-21 12:37:56+00:00,0,
11,1451255825272610000,"tomorrow's prediction
1. IREvNAM - it's really hard,dont know what will happen, but i am backing ireland 💚
2. SLvNED - its a very bold one, NED will not go home without a win and i think they will have that lone win tomorrow, 🧡
#T20WorldCup #BackingGreen  #NED #SL #Ireland #NAM",2021-10-21 18:35:26+00:00,1,"backing
win"
11,1451370518662180000,"#Namibia has the opportunity to upset a full member team #Ireland on the final day of ROUND 1 stage 🤘
#NAMvIRE #T20WorldCup",2021-10-22 02:11:11+00:00,1,upset
12,1451080777861450000,"Against #Netherlands it is last opportunity for floundering #SriLanka top-order to get their act together before #T20WorldCup Super 12 #SLvNED

https://t.co/17fWnjq0rZ",2021-10-21 06:59:51+00:00,0,
12,1451255825272610000,"tomorrow's prediction
1. IREvNAM - it's really hard,dont know what will happen, but i am backing ireland 💚
2. SLvNED - its a very bold one, NED will not go home without a win and i think they will have that lone win tomorrow, 🧡
#T20WorldCup #BackingGreen  #NED #SL #Ireland #NAM",2021-10-21 18:35:26+00:00,1,"backing
win"
12,1451375700955440000,"Happy match day cricket loving Patriots! #SL will reign victorious tonight Vs much ""loved"" &amp; 200+ years old rivals #Netherlands . Some will have to back their talks tonight. #sl have to find their no3 and hope they use this one as an opportunity to do that. #SLvNED #T20WorldCup",2021-10-22 02:31:47+00:00,1,Victorious
13,1451136225180450000,"Australia looking Not good nor Strong and is underprepared. I can't remember Australia going into any World Cup in this state - it will be incredible backtracking if they made the Semi-Finals.

#T20WorldCup #T20WorldCup21 #AUSvSA",2021-10-21 10:40:11+00:00,1,underprepared
13,1451454458185990000,"#T20WorldCup #AUSvSA

Australia's top order in focus against in-form South Africa 🏏

#Australia will hope their lacklustre top order can fire from the word go when they open their @T20WorldCup campaign against #SouthAfrica

Preview ✍️ https://t.co/rDAFyI2Z6O https://t.co/bJQrKK2w6j",2021-10-22 07:44:44+00:00,1,"lacklustre
In-form"
13,1451625526960030000,"Today's Prediction

#AUSvSA

#SAF winner

#ENGvWI

#WI winner

#T20WorldCup",2021-10-22 19:04:30+00:00,1,prediction
13,1451720374614370000,Prediction for four matches. South Africa will win against Australia. England will win against West Indies. Sri Lanka will win against Bangladesh. India will win against Pakistan #SAvAUS #AUSvSA #ENGvWI #WIvENG #SLvBAN #BANvSL #INDvPAK #PAKvIND #T20WorldCup,2021-10-23 01:21:23+00:00,1,prediction
13,1451756976778600000,"match day who will win first match #Australia #SouthAfrica #AUSvSA #INDvPAK #T20WorldCup #IndvsPak #yaari #IND
like share retweet and follow me
@DrGumsNProbes @bros_cric @AnjanAniket @dimri_fc",2021-10-23 03:46:50+00:00,0,
13,1451789271564780000,"Let's Start a Prediction game :

 South Africa to win.
 Markram To Star.

#T20WorldCup
#SAvAUS",2021-10-23 05:55:09+00:00,1,prediction
13,1451789493669960000,"I think South Africa has the upper hand in today's match.
#AUSvSA #Aus V #SouthAfrica #T20WorldCup https://t.co/0oJAcapPez",2021-10-23 05:56:02+00:00,1,upper hand
13,1451832040345720000,"#Australia have the advantage in head-to-head stats against #SouthAfrica

Who starts favorites in the opening match of the Super 12s?

#AUSvSA #T20WorldCup https://t.co/KZuEg5ZwPb",2021-10-23 08:45:06+00:00,1,advantage
13,1451846031985960000,"Prediction time:- Australia &amp; England to win today's encounter in the T20 World Cup...
#T20WorldCup
#AUSvSA
#ENGvWI",2021-10-23 09:40:42+00:00,1,win
14,1451590190124850000,"Rain-hit chases, a @henrygayle storm, and a fitting final. @englandcricket have lost all of their five T20 World Cup matches against @windiescricket so far. Can they break the duck tomorrow? 🏴󠁧󠁢󠁥󠁮󠁧󠁿 🌴 https://t.co/87S4ljP536 #England #WestIndies #MissionMaroon #ENGvWI #T20WorldCup",2021-10-22 16:44:05+00:00,1,lost
14,1451649534770170000,"okay we are into the super 12 now
Tommorow's prediction
1. AUSv SA - its really hard, but lets support Australia here

2. ENGvWI - finalist of 2k16, but lot have changed so here its England

#T20WorldCup",2021-10-22 20:39:54+00:00,1,prediction
14,1451820106988740000,"The final dance of a great #WestIndies side begins today, most likely we might not see few players in the next #T20WorldCup , they have given lots amazing moments in this format, won titles and will be looking to end it on a high.

#ENG #WI #ENGvWI",2021-10-23 07:57:41+00:00,1,"on a high
won"
14,1451839555338840000,"20 Minutes before the toss I am predicting.

#AUSvSA

WINNER: #AUS

#ENGvWI

WINNER: #ENG

#T20WorldCup",2021-10-23 09:14:58+00:00,1,"Winner
predicting"
14,1451843248012540000,"Haven't been this excited for anything in quite some time! Let's hope the cricket lives up to expectations! I think I'm going with SA and England to win today 👀

#T20WorldCup
#SAvsAUS
#ENGvWI",2021-10-23 09:29:38+00:00,1,win
14,1451846407661360000,"#aus won toss and choose bowl first against #ProteaFire

#ICCT20WorldCup2021
#australia
#WestIndies
#Pakistan
#India
#ENGLAND
#SouthAfrica
#AUSvSA
#ENGvWI
#T20WorldCup",2021-10-23 09:42:12+00:00,0,
14,1451873539363980000,"Contenders' England must go all-in as ageing West Indian stalwarts look for one last hurrah

#ENGvWI | #T20WorldCup",2021-10-23 11:30:00+00:00,1,"contenders
go all-in"
14,1451878569584600000,"England have never beaten West Indies in the T20 World Cup in five attempts.

Tonight's the sixth meeting 🤝🤝

#ENGvWI #T20WorldCup https://t.co/JxcHdPbQXa",2021-10-23 11:50:00+00:00,1,never beaten
14,1451895459946110000,"AUS &amp; ENG to wins today 😊
That's all my predictions for today
Thank you very much 🙏
#T20WorldCup #AUSvSA #ENGvWI",2021-10-23 12:57:07+00:00,1,"wins
predictions"
14,1451904864255040000,"England won the toss and opt to bowl first against West Indies in Dubai!

#T20WorldCup #WIvENG",2021-10-23 13:34:29+00:00,0,
14,1451905362257340000,"Morgan wins the toss

And England will be Bowling first

#ENGvWI #T20WorldCup",2021-10-23 13:36:28+00:00,0,
14,1451905848863690000,#Eng have won the toss and elected to bowl first... Dre Russell is playing for #WI !! A proper battle between two sided packed with heavy hitters!!? #T20WorldCup #T20WorldCup21 #LiveTheGame #ENGvWI #WIvEng,2021-10-23 13:38:24+00:00,0,news
14,1451906423864970000,"Yayy, @tmills15 is back in England's playing 11 tonight!

#pacejournal #mills #T20WorldCup #ENGvWI",2021-10-23 13:40:41+00:00,0,news
16,1433444153300370000,"Pressure will be more on India than us: Babar Azam on T20 World Cup clash

#T20WorldCup #India #Pakistan #INDvPAK #IndiavPakistan #PAKvIND #t20worldcup2021

https://t.co/vbvBphcl6J",2021-09-02 14:58:12+00:00,0,
16,1450908318977990000,"""Pakistan Is Going To Win Against   Arch-Rival Insha Allah Mark My Words
😍💚"" 
#T20WorldCup #Pakistan #PAKvIND #samo🐰",2021-10-20 19:34:34+00:00,1,win
16,1451209131868570000,"#T20WorldCup #INDvPAK #INDvsPAK

India outclassed Pakistan as far as both teams record over the last 10 years in T20Is is concerned

Here's how India and Pakistan have fared in the last decade in T20Is https://t.co/gtBw4erGYc",2021-10-21 15:29:53+00:00,1,outclassed
16,1451427746811280000,"Prediction-India will be undefeated in this world cup.
#ICCT20WorldCup #Cricket #CricketTwitter #KLRahul #ViratKohli #RohitSharma #INDvPAK #T20WorldCup #T20WorldCup2021 https://t.co/3uHPQw8P6W",2021-10-22 05:58:35+00:00,1,"prediction
undefeated"
16,1451439053761500000,"Who will win the Toss #INDvsPAK ?
?
?
?

#INDvPAK #India #T20WorldCup
#indiaVsPakistan #IndvsPak",2021-10-22 06:43:31+00:00,0,
16,1451606494437270000,"India has the strongest squad in the T20 World Cup. They can definitely win it.
#T20WorldCup #INDvPAK",2021-10-22 17:48:52+00:00,1,win
16,1451786029891860000,"India is definitely a better side than Pakistan. Unless something dramatic happens India should win comfortably, tomorrow! In cricketing parlance, the buildup for this game seems to be a bit overboard. Of course, the buildup is for non-cricketing reasons  #T20WorldCup #INDvPAK",2021-10-23 05:42:17+00:00,1,"win comfortably,"
16,1451802410741990000,"IND vs PAK, T20 World Cup 2021: Mohammad Amir Predicts the Winner for the Mouth-Watering Tie, Believes India Has an Upper Hand

#INDvPAK | #T20WorldCup | #T20WorldCup2021

https://t.co/3Hvl2iSoYZ",2021-10-23 06:47:22+00:00,1,upper hand
16,1451828351358870000,"Pakistan announced 12 Member Squad for the Match against India.. Sarfaraz, Wasim Jr &amp; Nawaz not consider for the game..
#INDvPAK #PAKvIND #Pakistan
#T20WorldCup https://t.co/Tj3Ga1wrrn",2021-10-23 08:30:27+00:00,0,news
16,1452174592173210000,"Who will win today
#GreenShirtsWillWin
#ICCT20WorldCup2021 #PAKvIND #T20WorldCup
@Master_PTI @TeamWPak_",2021-10-24 07:26:17+00:00,1,win
16,1452202291054900000,Inshallah Pakistan will defeat India in the first match today. #INDvPAK #T20WorldCup,2021-10-24 09:16:21+00:00,1,defeat
16,1452214069134560000,"What will happen today?

#T20WorldCup #INDvPAK  #TeamIndia #MaukaMauka Glance T20 Adda https://t.co/vwrdgo7IpO",2021-10-24 10:03:09+00:00,0,
16,1452267060462030000,"Pakistan won the toss and elected to bowl first
#T20WorldCup #PAKvIND",2021-10-24 13:33:43+00:00,0,
16,1452268580444290000,"Pakistan have won the toss and they decided to bat first
#PAKvIND
#T20worldcup",2021-10-24 13:39:46+00:00,0,
17,1452564027754740000,"Today's prediction
Afg 🇦🇫 vs Sco 🏴󠁧󠁢󠁳󠁣󠁴󠁿
Winner - Afg 🇦🇫
#T20WorldCup #afg #sco
#AFGvSCO",2021-10-25 09:13:46+00:00,1,"prediction
winner"
17,1452572524772950000,"Criclytics win predictor for tonight's game - Scotland - 38% v Afghanistan - 62%.

#SCOvAFG #T20WorldCup https://t.co/T5mE8u32i6",2021-10-25 09:47:32+00:00,1,predictor
17,1452629368539200000,"🚨 TOSS 🚨

#Afghanistan won the toss and elected to bat first against Scotland.

#AFGvSCO #T20WorldCup",2021-10-25 13:33:24+00:00,0,
17,1452633636700710000,"TOSS UPDATE: #Afghanistan have won the toss and elected to bat first against #Scotland. It will be an interesting contest to watch.

#AFGvSCO #SCOvAFG #T20WorldCup",2021-10-25 13:50:22+00:00,0,
18,1452706377604940000,"tomorrow's prediction-:

1. NZvPAK-it's really hard, #Pakistan gonna take this match very serious on account of what NZ have done last month, whatever it is,it will be battle b/w Babar and Kane and i can see that kane is winning

2. SAvWI-no chance for WI,SA will win
#T20WorldCup",2021-10-25 18:39:25+00:00,1,prediction
18,1452843863735940000,"Prediction Time ✨✨
Match 1:
Sa vs Wi
Prediction: South Africa to win.
Match 2:
Pak vs Nz
Prediction: Pakistan to win.
#T20WorldCup #PAKvNZ
#SAvWI",2021-10-26 03:45:44+00:00,1,prediction
18,1452932504596270000,South africa won the toss and will bowl against west indies first. #T20WorldCup #SAvWI,2021-10-26 09:37:57+00:00,0,
18,1452933225186140000,"BIG NEWS: Quinton de Kock has made himself unavailable to play today

https://t.co/aiDEa3ZVG9 | #SAvWI | #T20WorldCup https://t.co/2YgcBmorbM",2021-10-26 09:40:49+00:00,0,news
18,1452937746016880000,"South Africa have won the toss and have opted to field against the West Indies

Discuss at:

https://t.co/mL66XA3lHe

#T20WorldCup #SAvWI https://t.co/Rwjl2ecw5V",2021-10-26 09:58:47+00:00,0,
19,1452947583991700000,"#WestIndies will beat #SouthAfrica and #Pakistan will beat #NewZealand today
#PAKvNZ #NZvPAK #WIvSA #SAvNZ #Prediction #T20WorldCup",2021-10-26 10:37:53+00:00,1,"beat
prediction"
19,1452992089013320000,"#T20WorldCup Toss update: #Pakistan won the toss and opted to bowl first against #NewZealand

#PAKvNZ",2021-10-26 13:34:43+00:00,0,
19,1452992339505550000,"Pakistan have won the toss and will bowl. Looking for early wickets, and also dew expected, says Babar Azam. Pakistan are unchanged.
#Pakistan #NewZealand
#PAKvNZ #NZvPAK #PakvsNewzealand
#T20WorldCup",2021-10-26 13:35:43+00:00,0,
20,1453276835261860000,"Today is a must-win game for #Bangladesh!! The strong #England side will surely look to dominate another game. It will be an awesome contest. Good luck to both the teams!

#BANvENG #ENGvBAN #T20WorldCup",2021-10-27 08:26:12+00:00,0,
20,1453277796147540000,"“Bangladesh is a strong team... they're a dangerous side. They have some really experienced players in the team and we're expecting a tough challenge,” @josbuttler said.

#England #Bangladesh #ENGvBAN #T20WorldCup
https://t.co/yWYsIv7IbF",2021-10-27 08:30:01+00:00,0,
20,1453291249146990000,"Bangladesh run into confident England in first T20I meeting between sides

Who are you backing?

#ENGvBAN  #T20WorldCup #T20WorldCup2021 #BANvsENG #Cricket #eoinmorgan #mahmudullah https://t.co/qUpYCUyiiK",2021-10-27 09:23:29+00:00,0,
20,1453293847866390000,"Another big day for England at the #T20WorldCup but they are heavy favourites to beat Bangladesh - our market gives them an 81% chance of victory despite Eoin Morgan losing the toss.

Trade #ENGvBAN ➡️ https://t.co/vLVGZAKo3b https://t.co/wvQLc6f1fW",2021-10-27 09:33:48+00:00,1,beat
20,1453294097792480000,"Will Bangladesh be able to cause an upset against England?

#ENGLAND #Bangladesh #ENGvBAN #BANvENG #T20WorldCup #T20WorldCup21 #CricketTwitter",2021-10-27 09:34:48+00:00,0,
20,1453294164330910000,"High-flying #England aim to make it 2 in 2 while #Bangladesh hunt for their first points! Join @ImZaheer, @joybhattacharj &amp; @gbhimani on Cricbuzz Live

#T20WorldCup #ENGvBAN #CricketTwitter https://t.co/dyXkAU19l0",2021-10-27 09:35:04+00:00,0,
20,1453294257243140000,"BANGLADESH have won the toss and choose to bat × ENGLAND.

*Get this match report in in my
TELEGRAM CHANNEL.

#ENGvBAN #T20WorldCup",2021-10-27 09:35:26+00:00,0,
20,1453295041645000000,"Who will win this match?  #ENGvBAN
Bangladesh chose to bat first...
#T20WorldCup #ENGvBAN #BANvENG #ENGvsBAN #BANvsENG #Bangladesh",2021-10-27 09:38:33+00:00,0,
21,1453213340529050000,"Game on 👊

What are your predictions today?

#T20WorldCup #ENGvBAN #BANvENG #ENG  #Bangladesh #SCOvNAM #NAMvSCO #Scotland #Namibia #ICCT20WorldCup2021 #ICCT20WorldCup #ICc https://t.co/XHHhk0oopb",2021-10-27 04:13:54+00:00,0,
21,1453243843638340000,"After impressing in #T20WorldCup First Round action, #Namibia and #Scotland meet in Abu Dhabi eager to put a Super 12 win on the board.

All the news ahead of #SCOvNAM 👇

https://t.co/AiJV8dgA90",2021-10-27 06:15:06+00:00,0,
21,1453277789973530000,"Scotland look to bounce back after a disappointing loss while Namibia look to make a winning start! Which side get their first points tomorrow?

@bhogleharsha &amp; @joybhattacharj preview Match 21 on #CricbuzzLive

#SCOvNAM #T20WorldCup #CricketTwitter https://t.co/W1jvXDXhr1",2021-10-27 08:30:00+00:00,0,
21,1453353213101360000,"Who will win tonight?

#Namibia #Scotland #NAMvSCO #SCOvNAM #T20WorldCup21 #T20WorldCup2021 #T20WorldCup",2021-10-27 13:29:42+00:00,0,
